"AGENCY_ID","scaled_log_n_train_rows","scaled_n_train_years_active","scaled_mean_log_wp_train","scaled_mean_log_prev_wp_train","scaled_mean_log_prev_poly_train","scaled_sd_log_wp_train","scaled_iqr_log_wp_train","scaled_sd_log_prev_poly_train","scaled_mean_active_producers_train_clean","scaled_n_products_train","scaled_n_states_train","scaled_product_hhi","scaled_state_hhi","scaled_pl_share_train","scaled_slope_mean_log_wp_by_year"
8989,-0.047568,0.653219,-0.461256,-0.931202,-0.330863,0.115546,-0.31447,-0.571365,-0.638304,-0.811998,-0.642924,-0.163623,0.628811,0.720136,-1.037599
9000,-1.942857,-2.289789,0.124123,2.456199,2.995574,0.129577,-0.130472,-2.177866,-0.359699,-1.425029,-0.642924,0.390019,0.628811,1.901993,0.094867
9011,-0.030792,0.653219,-1.140061,-1.568263,-1.334731,-0.623869,0.144971,-1.009719,-0.359699,-0.811998,-0.642924,-0.117236,0.628811,-1.643578,-0.043496
9012,0.660855,0.162718,-0.208056,-0.161902,0.293706,0.159889,-0.045879,0.935687,-0.26683,0.720581,2.317516,-0.443582,-1.454294,0.37802,0.535469
9026,-0.326975,0.162718,-0.332741,-0.359453,-0.09225,-0.588294,-1.339103,0.90173,-0.359699,-0.505482,-0.642924,-0.208663,0.628811,-0.183637,1.290433
9028,0.887012,0.653219,0.485458,-0.062393,-0.368416,0.507198,0.160748,0.250672,-0.684738,1.180354,1.330703,-0.486309,-0.542957,-0.059889,-0.028024
9031,0.638905,0.653219,1.017555,0.466603,-0.736596,0.333743,0.503858,0.270489,-0.545436,0.260807,1.330703,-0.399029,-0.779136,-0.876968,-0.16166
9033,-2.703744,-2.289789,-2.180863,2.456199,2.995574,-3.191196,-2.468346,-2.177866,-0.91691,-1.884803,-0.642924,3.782548,0.628811,-1.643578,0.094867
9037,0.294759,-0.327783,0.44071,0.455229,0.028643,-0.01226,-0.05697,1.32483,-0.452567,0.260807,0.34389,-0.398749,-0.43293,-0.623619,2.234978
9052,-0.573812,0.162718,-0.481883,-0.176491,0.657076,0.405821,1.243811,0.159825,-0.638304,-1.271771,-0.642924,0.207274,0.628811,1.901993,-0.510523
9063,0.419554,0.653219,0.248938,-0.28632,-0.575211,-0.040631,0.311537,-0.220509,-0.220396,0.414065,-0.642924,-0.427162,0.628811,-0.058499,-0.630353
9067,0.32776,0.653219,-0.299175,-0.793136,-0.560096,-0.492366,0.329414,-0.317012,-0.545436,-0.352224,1.330703,-0.1848,-1.051429,0.17586,0.239615
