"AGENCY_ID","log_n_train_rows","n_train_years_active","mean_log_wp_train","mean_log_prev_wp_train","mean_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train_clean","n_products_train","n_states_train","product_hhi","state_hhi","pl_share_train","slope_mean_log_wp_by_year","n_train_rows","has_trend_support","n_years_for_trend"
3624,3.09104245335832,7,6.87187714238631,7.10982080555114,3.32137156578344,1.64483601675777,3.04317735025582,0.587751090355587,6,3,1,0.333333333333333,1,1,-0.213827905306944,21,TRUE,7
3646,2.30258509299405,7,7.36198700351321,7.38526429521218,3.7366063418137,1.2070538670112,0.319343806833728,0.613274743151322,15.5,2,1,0.654320987654321,1,1,0.250605807294849,9,TRUE,7
3647,4.56434819146784,7,8.82612583951302,9.15622696281528,1.93659330258024,1.83304904553773,2.41845616997564,3.40193044207412,14,16,3,0.0714681440443213,0.918448753462604,0.273684210526316,0.128824902362289,95,TRUE,7
3655,4.81218435537242,7,8.37480848477266,8.43049462197857,2.54920943125245,2.23094548422533,3.42388033678159,2.95289318986921,23,19,1,0.055495834453104,1,0.524590163934426,-0.144612225110055,122,TRUE,7
3662,4.68213122712422,7,8.07494855540494,8.23877407292433,2.34196893485318,1.75627780043836,2.18212355327367,2.83731663792591,12,16,2,0.0655952484933182,0.981483098960608,0.467289719626168,-0.0829831959970031,107,TRUE,7
3663,4.4188406077966,7,7.54703073220258,7.8566673290856,3.65064507257465,2.86246758993901,3.280890408618,3.78672325205768,2,16,1,0.0776323616894706,1,0.560975609756098,0.0334230343878705,82,TRUE,7
3664,4.70953020131233,7,8.76431962802481,8.67886950260812,1.35396477510279,1.86382789181734,3.52579918527806,2.18894180840029,4,18,2,0.0624793388429752,0.98198347107438,0.354545454545455,0.15118099959494,110,TRUE,7
3669,2.07944154167984,4,6.05230185971102,6.05733866054156,2.56494935746154,1.1358334207905,2.11251028872948,0,15.5,2,1,0.510204081632653,1,1,-0.322700017935923,7,TRUE,4
3670,4.27666611901606,6,7.94367402592029,8.7278799263605,4.26112365108429,1.93341461032819,2.88620567363382,4.36897290098474,13,14,2,0.0731997619519937,0.97222773259274,0.52112676056338,0.0350157834093284,71,TRUE,6
3671,5.64190707093811,7,8.43921806757011,8.55060633358926,2.34510285164786,2.43228743244003,3.47841350714402,3.53716738421419,79,22,4,0.05690150833956,0.346968756728005,0.405693950177936,0.237906003218908,281,TRUE,7
3676,5.12396397940326,7,8.49039641135508,8.73912102293152,3.19527257244733,2.22495111899197,2.97963022103743,3.75033343165062,13,26,3,0.0479400480476173,0.749363548352397,0.479041916167665,0.00212747890848541,167,TRUE,7
3680,4.82028156560504,7,8.83577386273903,9.00008832136607,3.76542063546365,1.98933317992168,2.00033063039535,3.4791076720577,12,21,1,0.0553242117787031,1,0.601626016260163,-0.0650060315494055,123,TRUE,7
3724,4.93447393313069,7,9.05077236934157,9.22211516439168,3.48148498839832,1.87955908535758,2.35522143061499,3.34634291708196,10,22,2,0.0598613736609956,0.795001050199538,0.601449275362319,-0.0233878351268456,138,TRUE,7
