"AGENCY_ID","log_n_train_rows","n_train_years_active","n_train_rows","has_trend_support","n_years_for_trend","mean_log_wp_train","median_log_wp_train","mean_log_prev_wp_train","median_log_prev_wp_train","mean_log_prev_poly_train","median_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train","agency_appointment_year","mean_max_age_train","mean_min_age_train","n_products_train","n_states_train","n_vendors_train","top_product_share","product_hhi","top_state_share","state_hhi","top_vendor_share","vendor_hhi","pl_share_train","cl_share_train","slope_mean_log_wp_by_year"
8235,4.86753445045558,7,129,TRUE,7,7.74103565282734,7.3178761986265,7.90907216166609,7.50327860525598,2.75357671897681,2.56494935746154,2.06357484702974,2.90733314695924,2.77409647264931,9,1968,78,46,19,3,1,0.108527131782946,0.0612343008232678,0.906976744186046,0.827053662640466,1,1,0.612403100775194,0.387596899224806,-0.0969724802087248
8242,4.79579054559674,7,120,TRUE,7,8.64025774953727,9.02988516322997,8.73923478136425,9.11381060607977,1.67781925889392,0,2.02057383061692,3.14787692635235,2.21169989859258,22,1989,80,22,18,1,1,0.0583333333333333,0.0579166666666667,1,1,1,1,0.416666666666667,0.583333333333333,-0.0356786412872022
8244,4.87519732320115,7,130,TRUE,7,8.45934436429707,8.26588829161597,8.60643036396299,8.45361527417581,3.15498528260249,3.35404204192653,2.00099071809746,1.91879841967964,3.41995910420173,7,1967,74,49,22,1,1,0.0538461538461538,0.0524260355029586,1,1,1,1,0.515384615384615,0.484615384615385,-0.0401781894832151
8246,4.60517018598809,7,99,TRUE,7,7.93576258612786,7.84854348245668,8.18812217448368,8.39231000926955,1.51575520370142,0,1.80213056872011,2.74031352668333,2.4690494074411,14,1983,74,27,17,1,1,0.0707070707070707,0.0666258545046424,1,1,1,1,0.323232323232323,0.676767676767677,-0.141945295739868
8260,4.62497281328427,7,101,TRUE,7,7.15384867525482,6.73995182270109,7.4340736667478,6.99418982296893,2.75610558868356,2.56494935746154,2.16113915689947,1.9037120790732,2.9650127932603,23,1997,72,40,17,1,1,0.0693069306930693,0.0649936280756789,1,1,1,1,0.574257425742574,0.425742574257426,-0.0376226417535777
8269,0.693147180559945,1,1,FALSE,1,7.0057890192535,7.0057890192535,11.5129254649702,11.5129254649702,11.5129254649702,11.5129254649702,NA,0,NA,99999,99999,99999,99999,1,1,1,1,1,1,1,1,1,0,1,NA
8277,5.26785815906333,7,193,TRUE,7,7.89140969253314,7.81359155295243,8.11001894440593,7.88909190325929,3.00707720416545,2.56494935746154,2.25345785760233,3.24795020621939,3.30870816383671,14,1972,81,30,22,2,1,0.0725388601036269,0.054041719240785,0.72020725388601,0.596982469328036,1,1,0.559585492227979,0.440414507772021,0.118580615615079
8288,4.26267987704132,7,70,TRUE,7,7.02720718710466,6.52649485957079,7.10443187129965,6.52208306624153,2.64658691642777,2.56494935746154,1.89311846238071,2.69192038703283,2.11570341876634,7,1973,81,59,11,1,1,0.1,0.0975510204081633,1,1,1,1,0.7,0.3,-0.0253905188387075
8303,3.63758615972639,7,37,TRUE,7,7.89312838514974,8.30207733178926,5.74798492103725,6.71417052990947,1.60755593401061,0,2.07248493378897,3.10520501901313,2.52072079980071,21,2002,80,36,12,1,1,0.189189189189189,0.10445580715851,1,1,1,1,0.378378378378378,0.621621621621622,-0.127657337366383
8308,2.39789527279837,2,10,FALSE,2,5.50251095935761,5.38095253699382,6.43259023690011,6.5289401606976,1.86081398310085,0,2.47421778671532,2.7996542997498,2.51766445104346,24,2003,75,30,6,1,1,0.2,0.18,1,1,1,1,0.4,0.6,NA
